Folder,Data set,Format,Dimension,Observation unit,Description,Type,Use,Source,Date,Theme
0. Precalculated inputs,calibrated_param_amenities,.mat,2x1,Parameter,For 2001 and 2011?,User,Model,/,/,/
0. Precalculated inputs,calibratedAmenities,.mat,1x24014,Pixel,Amenity index: follows calibration from Pfeiffer et al. (appendix C4),User,Model,/,/,/
0. Precalculated inputs,calibratedHousing_b,.mat,1x1,Parameter,"Housing production function parameter, as calibrated in Pfeiffer et al. (table C7): capital elasticity",User,Model,/,/,/
0. Precalculated inputs,calibratedHousing_b_CES,.mat,1x1,Parameter,Same for a CES (vs. CD) housing production function,User,Model,/,/,/
0. Precalculated inputs,calibratedHousing_kappa,.mat,1x1,Parameter,"Housing production function parameter, as calibrated in Pfeiffer et al. (table C7): scale parameter",User,Model,/,/,/
0. Precalculated inputs,calibratedHousing_kappa_CES,.mat,1x1,Parameter,Same for a CES (vs. CD) housing production function,User,Model,/,/,/
0. Precalculated inputs,calibratedHousing_sigma_CES,.mat,1x1,Parameter,Elasticity of substitution for CES housing production function,User,Model,/,/,/
0. Precalculated inputs,calibratedParamAmenities,.mat,2x1,Parameter,For 2001 and 2011?,User,Model,/,/,/
0. Precalculated inputs,calibratedUtilities,.mat,2x1,Parameter,For 2001 and 2011?,User,Model,/,/,/
0. Precalculated inputs,calibratedUtility_beta,.mat,1x1,Parameter,"Utility function parameter, as calibrated in Pfeiffer et al. (table C7): surplus housing elasticity",User,Model,/,/,/
0. Precalculated inputs,calibratedUtility_q0,.mat,1x1,Parameter,"Utility function parameter, as calibrated in Pfeiffer et al. (table C7): basic need in housing",User,Model,/,/,/
0. Precalculated inputs,coord_TAZ_2013,.mat,4x1787x1,TAZ (2013),"X: centroid x-axis coordinate (in km)
Y: centroid y-axis coordinate (in km)
TZ2013: TAZ code
Area: area in km²",User,Model,/,/,/
0. Precalculated inputs,data,.mat,1x1 struct with 54 fields,,See nested list,/,/,/,/,/
0. Precalculated inputs,spCode,/,1046x1,SP (2011),SP code,Raw,Model,National census,2011,Land use map
0. Precalculated inputs,spX,/,1046x1,SP (2011),Centroid x-coordinate in km,User,Model,National census,2011,Land use map
0. Precalculated inputs,spY,/,1046x1,SP (2011),Centroid y-coordinate in km,User,Model,National census,2011,Land use map
0. Precalculated inputs,sp2011Distance,/,1046x1,SP (2011),Centroid distance from grid center in km,User,Model,National census,2011,Land use map
0. Precalculated inputs,sp2011Area,/,1046x1,SP (2011),Area in km²,User,Model,National census,2011,Land use map
0. Precalculated inputs,sp2011CapeTown,/,1046x1,SP (2011),Boolean for SP belonging to CoCT,User,Model,National census,2011,Land use map
0. Precalculated inputs,sp2011MitchellsPlain,/,1046x1,SP (2011),Boolean for SP belonging to Mitchell's Plain,User,Model,National census,2011,Land use map
0. Precalculated inputs,gridAverageIncome,/,1x24014,Pixel,Average income in rand/year?,User,Model,/,/,/
0. Precalculated inputs,sp2011AverageIncome,/,1046x1,SP (2011),Average income in rand/year?,Raw,Model,National census,2011,Data on households income
0. Precalculated inputs,sp2011IncomeDistribution12Class,/,1046x12,SP (2011),Number of households per income bracket in data,Raw,Model,National census,2011,Urban area population
0. Precalculated inputs,sp2011IncomeDistributionNClass,/,1046x4,SP (2011),Number of households per income bracket in model,User,Model,/,/,/
0. Precalculated inputs,gridNumberPoor,/,1x24014,Pixel,Number of poor households,User,Model,/,/,/
0. Precalculated inputs,gridNumberRich,/,1x24014,Pixel,Number of rich households,User,Model,/,/,/
0. Precalculated inputs,MitchellsPlain,/,1x24014,Pixel,Boolean for pixel belonging to Mitchell's Plain,User,Model,/,/,/
0. Precalculated inputs,medianIncome,/,12x1,Parameter,Median incomes for income brackets from data,User,Model,/,/,/
0. Precalculated inputs,thresholdIncomeDistribution,/,1x4,Parameter,Lower thresholds for income brackets from model,User,Model,/,/,/
0. Precalculated inputs,spTotalDwellings,/,1046x1,SP (2011),Number of dwellings,Raw,Model,National census,2011,Urban area population
0. Precalculated inputs,spInformalBackyard,/,1046x1,SP (2011),Number of backyard settlements,Raw,Model,National census,2011,Urban area population
0. Precalculated inputs,spInformalSettlement,/,1046x1,SP (2011),Number of informal settlements,Raw,Model,National census?,2011,Urban area population
0. Precalculated inputs,gridInformalBackyard,/,1x24014,Pixel,Number of backyard settlements,User,Model,/,/,/
0. Precalculated inputs,gridInformalSettlement,/,1x24014,Pixel,Number of informal settlements,User,Model,/,/,/
0. Precalculated inputs,gridFormal,/,1x24014,Pixel,Number of formal housing units,User,Model,/,/,/
0. Precalculated inputs,sp2001X,/,1013x1,SP (2001),Centroid x-coordinate in km,User,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001Y,/,1013x1,SP (2001),Centroid y-coordinate in km,User,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001Code,/,1013x1,SP (2001),SP code,Raw,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001DistanceCenter,/,1013x1,SP (2001),Centroid distance from grid center in km,User,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001Area,/,1013x1,SP (2001),Area in km²,User,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001CapeTown,/,1013x1,SP (2001),Boolean for SP belonging to CoCT,User,Model,National census,2001,Land use map
0. Precalculated inputs,sp2001Distribution12Class,/,1013x12,SP (2001),Number of households per income bracket in data,Raw,Model,National census,2001,Urban area population
0. Precalculated inputs,sp2001DistributionNClass,/,1013x4,SP (2001),Number of households per income bracket in model,User,Model,/,/,/
0. Precalculated inputs,sp2001NumberPoor,/,1013x1,SP (2001),Number of poor households,User,Model,National census,2001,Urban area population
0. Precalculated inputs,sp2001NumberRich,/,1013x1,SP (2001),Number of rich households,User,Model,National census,2001,Urban area population
0. Precalculated inputs,sp2001Formal,/,1x1013,SP (2001),Number of formal housing units,User,Model,National census,2001,Urban area population
0. Precalculated inputs,sp2001Backyard,/,1x1013,SP (2001),Number of backyard settlements,User,Model,National census,2001,Urban area population
0. Precalculated inputs,sp2001Settlement,/,1x1013,SP (2001),Number of informal settlements,User,Model,National census,2001,Urban area population
0. Precalculated inputs,grid2001Formal,/,1x24014,Pixel (2001),Number of formal housing units,User,Model,/,/,/
0. Precalculated inputs,grid2001Backyard,/,1x24014,Pixel (2001),Number of backyard settlements,User,Model,/,/,/
0. Precalculated inputs,grid2001Settlement,/,1x24014,Pixel (2001),Number of informal settlements,User,Model,/,/,/
0. Precalculated inputs,totalNumberPerIncomeGroup,/,2x4,Parameter,Number of households per income brackets in model (for 2001 and 2011?),User,Model,/,/,/
0. Precalculated inputs,totalNumberPerIncomeBracket,/,2x12,Parameter,Number of households per income brackets in data (for 2001 and 2011?),Raw,Model,National census,2001 & 2011,Urban area population
0. Precalculated inputs,spPrice,/,3x1046,SP (2011),"Avg price of  real estate for 2001, 2006, 2011",Raw,Model,CoCT's housing sales registry,2011,Data on rents/real estate prices
0. Precalculated inputs,yearPrice,/,1x3,Parameter,"Years for price data (2001, 2006, 2011)",User,Model,/,/,/
0. Precalculated inputs,xPrice,/,1x1046,SP (2011),?,User,Model,/,/,/
0. Precalculated inputs,yPrice,/,1x1046,SP (2011),?,User,Model,/,/,/
0. Precalculated inputs,distancePrice,/,1x1046,SP (2011),?,User,Model,/,/,/
0. Precalculated inputs,spDwellingSize,/,1x1046,SP (2011),Avg formal dwelling size (aggregated from TAZ),Raw,Model,CoCT,2011,Dwellings sizes
0. Precalculated inputs,spFormalDensityHFA,/,1x1046,SP (2011),Avg formal population density,User,Model,/,/,/
0. Precalculated inputs,SP_is_CT,/,1x1046,SP (2011),Difference with sp2011CapeTown?,User,Model,/,/,/
0. Precalculated inputs,spUnconstrainedArea,/,1x1046,SP (2011),Constructible land area in km²,Raw,Model,?,?,Land use map
0. Precalculated inputs,gridFormalDensityHFA,/,1x24014,Pixel,Avg formal population density,User,Model,/,/,/
0. Precalculated inputs,limitCapeTown,/,1x24014,Pixel,Boolean for pixel belonging to CoCT,User,Model,/,/,/
0. Precalculated inputs,gridCountRDPfromGV,/,1x24014,Pixel,Number of RDP housing units,Raw,Model,?,2012?,?
0. Precalculated inputs,gridAreaRDPfromGV,/,1x24014,Pixel,Area of RDP housing,Raw,Model,CoCT's cadastre (Single Residential 2 - Incremental Housing),?,Land use map
0. Precalculated inputs,householdSizeIncomeGroup,/,1x4,Parameter,Nb of households in each model income bracket,User,Model,/,/,/
0. Precalculated inputs,gridDistanceRDP,.mat,24014x1,Pixel,Boolean for what?,User,Model,/,/,/
0. Precalculated inputs,incomeCentersKeep,.mat,185x4,"Income centers (TAZ with more than 2,500 jobs)",What for each income bracket in model?,User,Model,/,/,/
0. Precalculated inputs,lambda,.mat,1x1,Parameter,"Gravity parameter of the minimum Gumbel distribution (see Pfeiffer et al.), as calibrated in appendix C3",User,Model,/,/,/
0. Precalculated inputs,modelAmenity,.mat,1x1 GeneralizedLinearModel,Parameter,Fits a log-linear regression of residual utility on 9 predictors (amenities) among 16 distance variables for 307 SP (?) centroids (to get local amenity indices),User,Model,/,/,/
0. Precalculated inputs,SPDistanceRDP,.mat,1046x1,SP (2011),Boolean for what?,User,Model,/,/,/
0. Precalculated inputs,timeCenters,.mat,6x22x24014,Pixel,"distanceTrain: to what?
distanceCar: to what?
durationCar: to what?
durationTrain: to what?
durationMinibus: to what?
durationBus: to what?",User,Model,/,/,/
0. Precalculated inputs,Transport_times_GRID,.mat,5x185x24014,Pixel,"distanceCar: in km towards income center?
durationCar: in min towards income center?
durationTrain: in min towards income center?
durationMinibus: in min towards income center?
durationBus: in min towards income center?",User,Model,/,/,/
0. Precalculated inputs,Transport_times_SP,.mat,5x185x1046,SP (2011),"distanceCar: in km towards income center?
durationCar: in min towards income center?
durationTrain: in min towards income center?
durationMinibus: in min towards income center?
durationBus: in min towards income center?",User,Model,/,/,/
0. Precalculated inputs,transportMatrices,.mat,2x1787x1 + 4x1787x1787,TAZ (2013),"X: centroid x-coordinate
Y: centroid y-coordinate
bus: time (in min?) between all TAZ
cars: time (in min?) between all TAZ
distance_vol_oiseau: distance (in km?) between all TAZ
taxi: time (in min?) between all TAZ
train: time (in min?) between all TAZ",Raw,Model,CoCT,2013,Data on transport times to reach main employment centers
data_Cape_Town\data_maps\Data to Map,employment_center_used_simulation,.csv,6x6,"Chosen employment centers (CBD, Claremont, Table View, Epping, Bellville, Sommerset West)","X: centroid x-coordinate in km
Y: centroid y-coordinate in km
jobs1: number of jobs in first model income bracket
jobs2: number of jobs in second model income bracket
jobs3: number of jobs in third model income bracket
jobs4: number of jobs in fourth model income bracket",User,Model,/,/,/
data_Cape_Town\data_maps\Data to Map,job_centers_simul,.csv,185x7,"Income centers (TAZ with more than 2,500 jobs)","X_center: centroid x-coordinate in km
Y_center: centroid y-coordinate in km
jobs1: number of jobs in first model income bracket
jobs2: number of jobs in second model income bracket
jobs3: number of jobs in third model income bracket
jobs4: number of jobs in fourth model income bracket
total_jobs: total number of jobs",Raw,Model,CoCT,2015,Data on main employment centers across the city and their specialization
data_Cape_Town\data_maps\Data to Map,TAZ_amp_2013_proj_centro2,.csv,1787x26,TAZ (2013),"X: centroid x-coordinate in m
Y: centroid y-coordinate in m
TZ2013: TAZ code
Area: area in m²
diss: zero?
Zones: difference with TZ2013?
BY5Origins: ?
BY5Destina: ?
PTDOrigin: ?
PTDDestin: ?
Emploi_TAZ: dummy for what?
Emploi_T_1-8: ?
job_total: total number of jobs (rounded value)
job_dens: jobs density per km²
lnk1-4: difference with Emploi_T_4-8?
job_tot: total number of jobs (truncated value)",Raw,Model,CoCT,2015,Data on main employment centers across the city and their specialization
data_Cape_Town\data_maps\Data to Map,Roads_AICD,.shp,29521x24,Roads,"FID: object identifier
Shape: polyline
LINKNO: link identifier?
ROADNO: road identifier
START_KM: ?
END_KM: ?
LENGTH: length in km
STARTDESC: name of departure point
ENDDESC: name of endpoint
CLASS: primary/secondary/tertiary
REGION: region from SA
WIDTH: width in meters
LANES: number of lanes
SURFYPE: paved/unpaved
PAVETYPE: pavement type
CONDITION: state of the road
AADT: annual average daily traffic (in number of cars?)
iso3: ZAF
AICD_REG: dummy for what?
Gab_Durban: dummy for what?
Har_Durban: dummy for what?
Lus_Durban: dummy for what?
Lubum_Durb: dummy for what?
TAH: dummy for what?",Raw,Model,?,?,?
data_Cape_Town\data_maps\Data to Map,Taxi_Routes,.shp,1466x8,Taxi routes,"FID: default identifier
Shape: polyline
OBJECTID: object identifier
ID: difference with OBJECTID?
NAME: name of the road?
ORGN: name of departure point
DSTN: name of arrival point
SHAPE_STLe: ?",Raw,Model,?,?,?
data_Cape_Town\data_maps\Data to Map,CityGrowth_FINAL,.shp,680x4,?,"FID: object identifier
Shape: polygon
Year: ?
Area: area in m²?",Raw,?,?,?,?
data_Cape_Town\data_maps\Data to Map,Housing_LandStream_and_Projects,.shp,763x4,Housing projects,"FID: object identifier
Shape: polygon
Status: type of project (+ short or long term)
Yield_DU: number of units?",Raw,Simulation,CoCT,2015,/
data_Cape_Town\data_maps\Data to Map,TAZ_ampp_prod_attr_2013_2032,.shp,1787x10,TAZ (2013),"FID: object identifer
Shape: polygon
TZ2013: TAZ identifier
Area: area in m²
diss: zero?
Zones: difference with TZ2013?
BY5Origins: ?
BY5Destina: ?
PTODOrigin: ?
PTODDestina: ?",Raw,?,?,?,?
data_Cape_Town\data_maps,carre,.shp,1x12,Square convex hull,"FID: object identifier
Shape: polygon
MINX: left x-coordinate
MINY: bottom y-coordinate
MAXX: right x-coordinate
MAXY: top y-coordinate
CNTX: center x-coordinate
CNTY: center y-coordinate
AREA: which unit?
PERIM: which unit?
HEIGHT: which unit?
WIDTH: which unit?",User,Model,/,/,/
data_Cape_Town\data_maps,grid_reference_500,.shp,24014x7,Pixel,"FID: object identifier
SHAPE: polygon
ID: difference with FID?
X_MIN: which unit?
X_MAX: which unit?
Y_MIN: which unit?
Y_MAX: which unit?",User,Model,/,/,/
data_Cape_Town\data_maps,sea,.shp,2x3,Sea shape,"FID: object identifier
Shape: polygon
FID_1: ?",User,Model,/,/,/
data_Cape_Town\data_maps,UE3,.shp,68x6,Urban edge shapes,"FID: object identifier
Shape: polygon
OBJECTID: difference with FID?
Shape_Leng: which unit?
Shape_Area: which unit?
Id: ?",User,Simulation,/,/,/
data_Cape_Town\Scenarios,Income_distribution_scenarios_def,.xlsx,3x12x6,Scenarios (benchmark + low-inequality + high-inequality),"income_group: income bracket from data
Households_nb: number of households per bracket
INC_med: median income per bracket
INC_ref: reference income per bracket (in 2011)
group: income bracket from model (4)
coefficients: inflation applied to reference income",Raw,Simulation,CoCT's Medium Term Infrastructure Investment Framework,2017,Data on households income
